Var1,Var2
"a","阿,啊,吖"
"a,ba","阿爸"
"a,ba,dan","阿巴丹"
"a,bi,di,yu","阿鼻地狱"
"a,bo","阿伯"
"a,bo,luo","阿波罗"
"a,bo,luo,ji,hua","阿波罗计划"
"a,bu,za,bi","阿布扎比"
"a,chang,zu","阿昌族"
"a,die","阿爹"
"a,dou","阿斗"
"a,er,ba,ni,ya","阿尔巴尼亚"
"a,er,bei,si,shan","阿尔卑斯山"
"a,er,bei,si,shan,mai","阿尔卑斯山脉"
"a,er,ji,er","阿尔及尔"
"a,er,ji,li,ya","阿尔及利亚"
"a,er,tai,shan","阿尔泰山"
"a,fei","阿飞"
"a,fu,han","阿富汗"
"a,ge","阿哥"
"a,gen,ting","阿根廷"
"a,gong","阿公"
"a,ha","啊哈"
"a,hong","阿訇"
"a,ji,mi,de","阿基米德"
"a,jie","阿姐"
"a,ke,la","阿克拉"
"a,ke,su","阿克苏"
"a,la","阿拉"
"a,la,bo","阿拉伯"
"a,la,bo,ban,dao","阿拉伯半岛"
"a,la,bo,jiao,shu","阿拉伯胶树"
"a,la,bo,ren","阿拉伯人"
"a,la,bo,shu,ma","阿拉伯数码"
"a,la,bo,shu,zi","阿拉伯数字"
"a,la,bo,wen","阿拉伯文"
"a,la,bo,yu","阿拉伯语"
"a,le,tai","阿勒泰"
"a,li,shan","阿里山"
"a,lian,qiu","阿联酋"
"a,ma","阿妈"
"a,ma,ni","阿妈妮"
"a,man","阿曼"
"a,mao,a,gou","阿猫阿狗"
"a,mei","阿妹"
"a,men","阿门"
"a,meng","阿盟"
"a,mi,ba","阿米巴"
"a,mi,ba,li,ji","阿米巴痢疾"
"a,mu,si,te,dan","阿姆斯特丹"
"a,nan","阿囡"
"a,pian","阿片"
"a,po","阿婆"
"a,sai,bai,jiang","阿塞拜疆"
"a,sao","阿嫂"
"a,shen","阿婶"
"a,shi,ma","阿诗玛"
"a,si,pi,lin","阿司匹林"
"a,ti","阿嚏"
"a,tuo,pin","阿托品"
"a,ya","啊呀"
"a,yi","阿姨"
"a,yo","啊哟"
"ai","爱,哎,蔼,艾,哀,碍,癌,埃,挨,矮,唉,哎,隘,蔼,皑,捱,霭"
"ai,ai","皑皑,矮矮"
"ai,bian","癌变"
"ai,bing,bi,sheng","哀兵必胜"
"ai,bu,shi,shou","爱不释手"
"ai,cai,ru,ming","爱才如命,爱财如命"
"ai,cheng","爱称"
"ai,chou","哀愁"
"ai,ci","挨次,哀辞"
"ai,da","挨打"
"ai,da,shou,ma","挨打受骂"
"ai,dai","爱戴"
"ai,dao","哀悼"
"ai,de","爱得"
"ai,de,shen,chen","爱得深沉"
"ai,deng","矮凳"
"ai,di,mei,dun,shu","哀的美敦书"
"ai,di,sheng","爱迪生"
"ai,diao","哀吊"
"ai,dong","挨冻"
"ai,dou","挨斗"
"ai,dun,dun","矮墩墩"
"ai,e","挨饿"
"ai,er,bu,shang","哀而不伤"
"ai,er,lan","爱尔兰"
"ai,er,lan,dao","爱尔兰岛"
"ai,fa","挨罚"
"ai,fu","爱抚"
"ai,gao","哀告"
"ai,ge","挨个,哀歌"
"ai,ge,er","挨个儿,矮个儿"
"ai,ge,zi","矮个子"
"ai,guo","爱国"
"ai,guo,re,qing","爱国热情"
"ai,guo,ren,shi","爱国人士"
"ai,guo,wei,sheng,yun,dong","爱国卫生运动"
"ai,guo,xin","爱国心"
