Var1,Var2
a,"a,ai,an,ang,ao"
b,"a,o,i,u,ai,ei,ao,ie,an,en,in,ang,eng,ing,ian,iao"
c,"a,e,i,u,ai,ui,ao,ou,an,en,un,ang,eng,ong,uan,uo"
ch,"a,e,i,u,ai,ui,ao,ou,an,en,un,ang,eng,ong,uai,uan,uang,uo"
d,"a,e,i,u,ai,ei,ui,ao,ou,iu,ie,an,en,un,ang,eng,ing,ong,ian,iao,uan,uo"
e,"e,ei,en,er"
f,"a,o,u,ei,ou,an,en,ang,eng"
g,"a,e,u,ai,ei,ui,ao,ou,an,en,un,ang,eng,ong,ua,uai,uan,uang,uo"
h,"a,e,u,ai,ei,ui,ao,ou,an,en,un,ang,eng,ong,ua,uai,uan,uang,uo"
j,"i,u,iu,ie,ue,in,un,ing,ia,ian,iang,iao,iong,uan"
k,"a,e,u,ai,ui,ao,ou,an,en,un,ang,eng,ong,ua,uai,uan,uang,uo"
l,"a,e,o,i,u,v,ai,ei,ao,ou,iu,ie,ue,an,in,un,ang,eng,ing,ong,ian,iang,iao,uan,uo"
m,"a,o,e,i,u,ai,ei,ao,ou,iu,ie,an,en,in,ang,eng,ing,ian,iao"
n,"a,e,i,u,v,ai,ei,ao,ou,iu,ie,ue,an,en,in,ang,eng,ing,ong,ian,iao,uan,uo"
o,"o,ou"
p,"a,o,i,u,ai,ei,ao,ou,ie,an,en,in,ang,eng,ing,ian,iao"
q,"i,u,iu,ie,ue,in,un,ing,ia,ian,iang,iao,iong,uan"
r,"e,i,u,ui,ao,ou,an,en,un,ang,eng,ong,uan,uo"
s,"a,e,i,u,ai,ui,ao,ou,an,en,un,ang,eng,ong,uan,uo"
sh,"a,e,i,u,ai,ei,ui,ao,ou,an,en,un,ang,eng,ua,uai,uan,uang,uo"
t,"a,e,i,u,ai,ei,ui,ao,ou,ie,an,un,ang,eng,ing,ong,ian,iao,uan,uo"
w,"a,o,u,ai,ei,an,en,ang,eng"
x,"i,u,iu,ie,ue,in,un,ing,ia,ian,iang,iao,iong,uan"
y,"a,o,e,i,u,ao,ou,ue,an,in,un,ang,ing,ong,uan"
z,"a,e,i,u,ai,ei,ui,ao,ou,an,en,un,ang,eng,ong,uan,uo"
zh,"a,e,i,u,ai,ui,ao,ou,an,en,un,ang,eng,ong,ua,uai,uan,uang,uo"
